2025-03-27 23:54:17 INFO  consumer.consumer.KafkaConsumer - Message[title=msg, description=msg from Lera, senderName=Lera, senderAge=20] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470280, productId=ETH-USD, price=1910.61, open24h=2025.05, volume24h=146892.08207571, low24h=1901.82, high24h=2030.69, volume30d=4800903.44395131, bestBid=1910.59, bestBidSize=0.02798383, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952152, lastSize=0.718508] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470282, productId=ETH-USD, price=1910.59, open24h=2025.05, volume24h=146892.11005954, low24h=1901.82, high24h=2030.69, volume30d=4800903.47193514, bestBid=1910.58, bestBidSize=4.71977298, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952153, lastSize=0.02798383] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470284, productId=ETH-USD, price=1910.58, open24h=2025.05, volume24h=146894.92973555, low24h=1901.82, high24h=2030.69, volume30d=4800906.29161115, bestBid=1910.58, bestBidSize=1.90009697, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952154, lastSize=2.81967601] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470286, productId=ETH-USD, price=1910.58, open24h=2025.05, volume24h=146896.82983252, low24h=1901.82, high24h=2030.69, volume30d=4800908.19170812, bestBid=1910.57, bestBidSize=2.07369269, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952155, lastSize=1.90009697] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470288, productId=ETH-USD, price=1910.57, open24h=2025.05, volume24h=146898.90352521, low24h=1901.82, high24h=2030.69, volume30d=4800910.26540081, bestBid=1910.55, bestBidSize=1.60443000, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952156, lastSize=2.07369269] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470290, productId=ETH-USD, price=1910.55, open24h=2025.05, volume24h=146900.50795521, low24h=1901.82, high24h=2030.69, volume30d=4800911.86983081, bestBid=1910.52, bestBidSize=2.61576732, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952157, lastSize=1.60443] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470292, productId=ETH-USD, price=1910.52, open24h=2025.05, volume24h=146901.97964998, low24h=1901.82, high24h=2030.69, volume30d=4800913.34152558, bestBid=1910.52, bestBidSize=1.14407255, bestAsk=1911.04, bestAskSize=0.00558777, side=sell, time=2025-03-28T10:53:10.742653Z, tradeId=626952158, lastSize=1.47169477] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470562, productId=ETH-USD, price=1910.92, open24h=2025.05, volume24h=146902.20833998, low24h=1901.82, high24h=2030.69, volume30d=4800913.57021558, bestBid=1910.90, bestBidSize=0.00016536, bestAsk=1910.96, bestAskSize=0.52329871, side=sell, time=2025-03-28T10:53:10.935830Z, tradeId=626952159, lastSize=0.22869] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470568, productId=ETH-USD, price=1910.9, open24h=2025.05, volume24h=146902.20850534, low24h=1901.82, high24h=2030.69, volume30d=4800913.57038094, bestBid=1910.81, bestBidSize=0.00236319, bestAsk=1910.96, bestAskSize=0.52329871, side=sell, time=2025-03-28T10:53:10.936024Z, tradeId=626952160, lastSize=0.00016536] ,getKafkaMessage method
2025-03-28 13:53:19 INFO  consumer.consumer.KafkaConsumer - CryptMessage[type=ticker, sequence=77825470570, productId=ETH-USD, price=1910.81, open24h=2025.05, volume24h=146902.21086853, low24h=1901.82, high24h=2030.69, volume30d=4800913.57274413, bestBid=1910.77, bestBidSize=0.31983406, bestAsk=1910.96, bestAskSize=0.52329871, side=sell, time=2025-03-28T10:53:10.936024Z, tradeId=626952161, lastSize=0.00236319] ,getKafkaMessage method
